document_title,document_number,action,publication_date,pdf_url,abstract,excerpts,topics,dates,page_length,start_page,end_page,significant,agency_names,agency_ids,agency_urls,agency_parent_ids,agency_slugs,cfr_titles,cfr_parts
Final 2028 Parker-Davis Project Power Marketing Plan and Call for Resource Pool Applications,2024-26162,Notice of final plan and call for resource pool applications.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26162.pdf,"The Department of Energy (DOE), Western Area Power Administration (WAPA), Desert Southwest Region (DSW), announces its Final 2028 Parker-Davis Project (P-DP) Power Marketing Plan (Final 2028 Plan) and issues a Call for Resource Pool Applications. This notice responds to comments received on the Proposed 2028 P-DP Power Marketing Plan (Proposed 2028 Plan). The Final 2028 Plan specifies the terms and conditions under which WAPA will market power from P-DP from October 1, 2028, through September 30, 2048. WAPA will offer new contracts for the sale of power to existing contractors and create a resource pool for potential new applicants. Entities who wish to apply for a new allocation of power from WAPA, and who meet the criteria defined in the Final 2028 Plan, must submit a formal application using the Applicant Profile Data (APD) form and must meet the Eligibility Criteria and Allocation Criteria described herein. The General Criteria and Contract Principles set forth in the Final 2028 Plan will apply to new allottees and existing contractors. This Final 2028 Plan supersedes all previous marketing plans for P-DP.","The Department of Energy (DOE), Western Area Power Administration (WAPA), Desert Southwest Region (DSW), announces its Final 2028 Parker-Davis Project (P-DP) Power Marketing Plan (Final 2028 Plan) and issues a Call for Resource Pool Applications. This...",,"The Final 2028 Plan will become effective December 12, 2024 to make power allocations and complete the other processes necessary to begin providing service on October 1, 2028. Resource pool applications must be received on or before 5:00 p.m., Mountain Standard Time (MST), on January 31, 2025. WAPA will accept applications using the APD form by email or by certified mail (or its equivalent). Applications sent by regular mail will be accepted if postmarked before January 31, 2025, and received no later than February 5, 2025. WAPA will not consider applications unless they are received by the prescribed dates.",13,88999,89011,,"Energy Department, Western Area Power Administration","136, 525","https://www.federalregister.gov/agencies/energy-department, https://www.federalregister.gov/agencies/western-area-power-administration","None, 136","energy-department, western-area-power-administration",,
Charter Renewal for the Great Lakes Advisory Board,2024-26116,Notice of charter renewal for the Great Lakes Advisory Board.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26116.pdf,"Notice is hereby given that the Environmental Protection Agency (EPA) has determined that, in accordance with the provisions of the Federal Advisory Committee Act (FACA), the EPA Great Lakes Advisory Board is a necessary committee which is in the public's interest. Accordingly, the Advisory Board will be renewed for an additional two- year period. The purpose of the Advisory Board is to provide advice and recommendations to the EPA Administrator through the Great Lakes National Program Manager on matters related to the Great Lakes Restoration Initiative and on domestic matters related to the implementation of the Great Lakes Water Quality Agreement. The Advisory Board's major objectives are to provide advice and recommendations on: Great Lakes protection and restoration activities; long term goals, objectives and priorities for Great Lakes protection and restoration; and other issues identified by the Great Lakes Interagency Task Force/ Regional Working Group.","Notice is hereby given that the Environmental Protection Agency (EPA) has determined that, in accordance with the provisions of the Federal Advisory Committee Act (FACA), the EPA Great Lakes Advisory Board is a necessary committee which is in the...",,,1,89011,89011,,Environmental Protection Agency,145,https://www.federalregister.gov/agencies/environmental-protection-agency,None,environmental-protection-agency,,
"Agency Information Collection Activities: Submission to the Office of Management and Budget for Review and Approval; Comment Request; EIB 92-64, Application for Exporter Short Term Single Buyer Insurance",2024-26163,Notice of information collection; request for comment.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26163.pdf,"The Export-Import Bank of the United States (EXIM), as a part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal Agencies to comment on the proposed information collection, as required by the Paperwork Reduction Act of 1995.","The Export-Import Bank of the United States (EXIM), as a part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal Agencies to comment on the proposed information collection, as required by...",,"Comments must be received on or before January 13, 2025 to be assured of consideration.",1,89012,89012,,Export-Import Bank,151,https://www.federalregister.gov/agencies/export-import-bank,None,export-import-bank,,
Sunshine Act Meetings,2024-26295,,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26295.pdf,,,,"Thursday, November 14, 2024, 11:00 a.m.",1,89012,89012,,Federal Election Commission,165,https://www.federalregister.gov/agencies/federal-election-commission,None,federal-election-commission,,
Intent To Request Revision From OMB of One Current Public Collection of Information: FMCS F-7 Notice,2024-26151,30-Day notice and request for comments.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26151.pdf,"The Federal Mediation and Conciliation Service (FMCS) invites public comment on one current Information Collection Request (ICR), abstracted below, that we will submit to the Office of Management and Budget (OMB) for approval in compliance with the Paperwork Reduction Act (PRA). The ICR describes the nature of the information collection and its expected burden. The purpose of the collection is to facilitate a reporting requirement to FMCS by labor or management practitioners under the National Labor Relations Act (NLRA) in an effort to utilize federal mediation to prevent or minimize disruption to the community that could arise from a labor/management dispute.","The Federal Mediation and Conciliation Service (FMCS) invites public comment on one current Information Collection Request (ICR), abstracted below, that we will submit to the Office of Management and Budget (OMB) for approval in compliance with the...",,"Comments must be submitted on or before December 12, 2024.",2,89012,89013,,Federal Mediation and Conciliation Service,179,https://www.federalregister.gov/agencies/federal-mediation-and-conciliation-service,None,federal-mediation-and-conciliation-service,,
"Formations of, Acquisitions by, and Mergers of Bank Holding Companies",2024-26164,,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26164.pdf,,,,,1,89013,89013,,Federal Reserve System,188,https://www.federalregister.gov/agencies/federal-reserve-system,None,federal-reserve-system,,
"Medicare and Medicaid Programs; Approval of Application by the American Association for Accreditation of Ambulatory Surgery Facilities, dba QUAD A, for Continued CMS-Approval of Its Ambulatory Surgical Center (ASC) Accreditation Program",2024-26124,Notice.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26124.pdf,"This notice acknowledges the approval of an application by the American Association for Accreditation of Ambulatory Surgery Facilities, dba QUAD A, for continued recognition as a national accrediting organization for Ambulatory Surgical Centers that wish to participate in the Medicare or Medicaid programs.","This notice acknowledges the approval of an application by the American Association for Accreditation of Ambulatory Surgery Facilities, dba QUAD A, for continued recognition as a national accrediting organization for Ambulatory Surgical Centers that...",,"The decision announced in this notice is applicable November 27, 2024, to November 27, 2029.",2,89014,89015,,"Health and Human Services Department, Centers for Medicare & Medicaid Services","221, 45","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services","None, 221","health-and-human-services-department, centers-for-medicare-medicaid-services",,
Medicare and Medicaid Programs; Approval of Application by Community Health Accreditation Partner (CHAP) Inc. for Continued CMS-Approval of Its Hospice Accreditation Program,2024-26123,Notice.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26123.pdf,"This notice acknowledges the approval of an application by Community Health Accreditation Partner Inc., for continued CMS-approval as a national accrediting organization for its hospice programs that wish to participate in the Medicare or Medicaid programs.","This notice acknowledges the approval of an application by Community Health Accreditation Partner Inc., for continued CMS-approval as a national accrediting organization for its hospice programs that wish to participate in the Medicare or Medicaid...",,"The decision announced in this notice is applicable November 20, 2024 through November 20, 2029.",3,89015,89017,,"Health and Human Services Department, Centers for Medicare & Medicaid Services","221, 45","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services","None, 221","health-and-human-services-department, centers-for-medicare-medicaid-services",,
Agency Information Collection Request; 60-Day Public Comment Request,2024-26103,Notice.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26103.pdf,"In compliance with the requirement of the Paperwork Reduction Act of 1995, the Office of the Secretary (OS), Department of Health and Human Services, is publishing the following summary of a proposed collection for public comment.","In compliance with the requirement of the Paperwork Reduction Act of 1995, the Office of the Secretary (OS), Department of Health and Human Services, is publishing the following summary of a proposed collection for public comment.",,"Comments on the ICR must be received on or before January 13, 2025.",2,89017,89018,,Health and Human Services Department,221,https://www.federalregister.gov/agencies/health-and-human-services-department,None,health-and-human-services-department,,
Center for Scientific Review; Notice of Closed Meetings,2024-26111,,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26111.pdf,,,,"December 4, 2024.",1,89018,89018,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
National Institute of General Medical Sciences; Notice of Meeting,2024-26074,,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26074.pdf,,,,"February 6, 2025.",2,89018,89019,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
"Proposed Collection; 60-Day Comment Request; Data Use Certification for the NIH Brain Development Cohorts (NBDC), (National Institute on Drug Abuse)",2024-26138,Notice.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26138.pdf,"The purpose of this revision is to clarify inclusion of the HBCD Study, to update data use terms and conditions, and to request a progress report statement at the time of renewal. Burden levels remain unchanged. In compliance with the requirement of the Paperwork Reduction Act of 1995 to provide opportunity for public comment on proposed data collection projects, the National Institute on Drug Abuse (NIDA) will publish periodic summaries of proposed projects to be submitted to the Office of Management and Budget (OMB) for review and approval.","The purpose of this revision is to clarify inclusion of the HBCD Study, to update data use terms and conditions, and to request a progress report statement at the time of renewal. Burden levels remain unchanged. In compliance with the requirement of...",,Comments regarding this information collection are best assured of having their full effect if received within 60 days of the date of this publication.,2,89019,89020,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
Fogarty International Center; Notice of Meeting,2024-26112,,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26112.pdf,,,,"February 10-11, 2025.",1,89020,89020,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
National Institute of Diabetes and Digestive and Kidney Diseases; Notice of Meeting,2024-26073,,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26073.pdf,,,,"January 29-30, 2025.",2,89020,89021,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
National Institute of Diabetes and Digestive and Kidney Diseases; Notice of Closed Meeting,2024-26071,,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26071.pdf,,,,"December 11, 2024.",1,89021,89021,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
National Institute of Mental Health; Notice of Closed Meeting,2024-26139,,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26139.pdf,,,,"December 11, 2024.",1,89021,89021,,"Health and Human Services Department, National Institutes of Health","221, 353","https://www.federalregister.gov/agencies/health-and-human-services-department, https://www.federalregister.gov/agencies/national-institutes-of-health","None, 221","health-and-human-services-department, national-institutes-of-health",,
"Intent To Request Extension From OMB of One Current Public Collection of Information: Maryland Three Airports: Enhanced Security Procedures for Operations at Certain Airports in the Washington, DC, Metropolitan Area Flight Restricted Zone",2024-26072,60-Day notice.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26072.pdf,"The Transportation Security Administration (TSA) invites public comment on one currently approved Information Collection Request (ICR), Office of Management and Budget (OMB) control number 1652-0029, that we will submit to OMB for an extension in compliance with the Paperwork Reduction Act (PRA). The ICR describes the nature of the information collection and its expected burden. The collection is necessary to comply with a requirement for individuals to successfully complete a security threat assessment before operating an aircraft or serving as an airport security coordinator at one of the Maryland Three airports.","The Transportation Security Administration (TSA) invites public comment on one currently approved Information Collection Request (ICR), Office of Management and Budget (OMB) control number 1652-0029, that we will submit to OMB for an extension in...",,"Send your comments by January 13, 2025.",1,89022,89022,,"Homeland Security Department, Transportation Security Administration","227, 494","https://www.federalregister.gov/agencies/homeland-security-department, https://www.federalregister.gov/agencies/transportation-security-administration","None, 227","homeland-security-department, transportation-security-administration",,
TSA PreCheck® Application Program Fee,2024-25701,Notice.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-25701.pdf,"The Transportation Security Administration (TSA) administers the TSA PreCheck[supreg] Application Program, in which individuals determined to be low-risk travelers may receive expedited airport security screening. To apply for TSA Precheck[supreg] eligibility, individuals submit biometric and biographic information that TSA uses to verify identity and conduct a security threat assessment and submit fees to cover the costs associated with the program. TSA announces in this Notice that, under certain circumstances, the membership renewal fee will be reduced by $11.25 due to changes related to the Federal Bureau of Investigation (FBI) fee for criminal history checks.","The Transportation Security Administration (TSA) administers the TSA PreCheck[supreg] Application Program, in which individuals determined to be low-risk travelers may receive expedited airport security screening. To apply for TSA Precheck[supreg]...",,"This notice is effective November 12, 2024.",3,89022,89024,,"Homeland Security Department, Transportation Security Administration","227, 494","https://www.federalregister.gov/agencies/homeland-security-department, https://www.federalregister.gov/agencies/transportation-security-administration","None, 227","homeland-security-department, transportation-security-administration",,
"Agency Information Collection Activities; Reinstatement, With Change, of a Previously Approved Collection for Which Approval Has Expired: Change of Address",2024-26126,30-Day notice.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26126.pdf,"The Department of Homeland Security (DHS), U.S. Citizenship and Immigration Services (USCIS) will be submitting the following information collection request to the Office of Management and Budget (OMB) for review and clearance in accordance with the Paperwork Reduction Act of 1995. The purpose of this notice is to allow an additional 30 days for public comments.","The Department of Homeland Security (DHS), U.S. Citizenship and Immigration Services (USCIS) will be submitting the following information collection request to the Office of Management and Budget (OMB) for review and clearance in accordance with the...",,"Comments are encouraged and will be accepted until December 13, 2024.",2,89024,89025,,"Homeland Security Department, U.S. Citizenship and Immigration Services","227, 499","https://www.federalregister.gov/agencies/homeland-security-department, https://www.federalregister.gov/agencies/u-s-citizenship-and-immigration-services","None, 227","homeland-security-department, u-s-citizenship-and-immigration-services",,
Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Nonferrous Metals Surveys,2024-26160,Notice of information collection; request for comment.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26160.pdf,"In accordance with the Paperwork Reduction Act (PRA) of 1995, and Federal regulations, the U.S. Geological Survey (USGS) is proposing to renew an Information Collection with revisions to add a currently OMB-exempt `Battery Recycling' canvass (USGS Form 9-4147-A) and convert to OMB-exempt status the `Alumina' (USGS Form 9-4055-A) and `Pig Tin' (USGS Form 9-4090-M) canvasses.","In accordance with the Paperwork Reduction Act (PRA) of 1995, and Federal regulations, the U.S. Geological Survey (USGS) is proposing to renew an Information Collection with revisions to add a currently OMB-exempt `Battery Recycling' canvass (USGS Form...",,"Interested persons are invited to submit comments on or before January 13, 2025.",2,89025,89026,,"Interior Department, Geological Survey","253, 212","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/geological-survey","None, 253","interior-department, geological-survey",,
Proclaiming Certain Lands as Reservation for Snoqualmie Indian Tribe,2024-26183,Notice of reservation proclamation.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26183.pdf,"This notice informs the public that the Assistant Secretary-- Indian Affairs proclaimed approximately 68.17 acres, more or less, an addition to the reservation of the Snoqualmie Indian Tribe.","This notice informs the public that the Assistant Secretary-- Indian Affairs proclaimed approximately 68.17 acres, more or less, an addition to the reservation of the Snoqualmie Indian Tribe.",,"This proclamation was made on October 31, 2024.",3,89026,89028,,"Interior Department, Indian Affairs Bureau","253, 234","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/indian-affairs-bureau","None, 253","interior-department, indian-affairs-bureau",,
"Notice of Intended Repatriation: Turtle Bay Exploration Park, Redding, CA",2024-26078,Notice.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26078.pdf,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), Turtle Bay Exploration Park (TBEP) intends to repatriate certain a cultural item that meets the definition of an object of cultural patrimony and that has a cultural affiliation with the Indian Tribes or Native Hawaiian organizations in this notice.","In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), Turtle Bay Exploration Park (TBEP) intends to repatriate certain a cultural item that meets the definition of an object of cultural patrimony and that has a...",,"Repatriation of the cultural item in this notice may occur on or after December 12, 2024.",1,89028,89028,,"Interior Department, National Park Service","253, 362","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/national-park-service","None, 253","interior-department, national-park-service",,
"Notice of Inventory Completion: Rochester Museum & Science Center, Rochester, NY",2024-26081,Notice.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26081.pdf,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the Rochester Museum & Science Center (RMSC) has completed an inventory of human remains and associated funerary objects and has determined that there is a cultural affiliation between the human remains and associated funerary objects and Indian Tribes or Native Hawaiian organizations in this notice.","In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the Rochester Museum & Science Center (RMSC) has completed an inventory of human remains and associated funerary objects and has determined that there is a cultural...",,"Repatriation of the human remains and associated funerary objects in this notice may occur on or after December 12, 2024.",2,89028,89029,,"Interior Department, National Park Service","253, 362","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/national-park-service","None, 253","interior-department, national-park-service",,
"Notice of Inventory Completion: Gilcrease Museum, Tulsa, OK",2024-26087,Notice.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26087.pdf,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the Gilcrease Museum has completed an inventory of associated funerary objects and has determined that there is a cultural affiliation between the associated funerary objects and Indian Tribes or Native Hawaiian organizations in this notice.","In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the Gilcrease Museum has completed an inventory of associated funerary objects and has determined that there is a cultural affiliation between the associated...",,"Repatriation of the associated funerary objects in this notice may occur on or after December 12, 2024.",2,89029,89030,,"Interior Department, National Park Service","253, 362","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/national-park-service","None, 253","interior-department, national-park-service",,
"Notice of Intended Repatriation: Peabody Museum of Archaeology and Ethnology, Harvard University, Cambridge, MA",2024-26086,Notice.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26086.pdf,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the Peabody Museum of Archaeology and Ethnology, Harvard University (PMAE) intends to repatriate certain cultural items that meet the definition of sacred objects and objects of cultural patrimony and that have a cultural affiliation with the Indian Tribes or Native Hawaiian organizations in this notice.","In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the Peabody Museum of Archaeology and Ethnology, Harvard University (PMAE) intends to repatriate certain cultural items that meet the definition of sacred objects...",,"Repatriation of the cultural items in this notice may occur on or after December 12, 2024.",1,89030,89030,,"Interior Department, National Park Service","253, 362","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/national-park-service","None, 253","interior-department, national-park-service",,
"Notice of Intended Repatriation: Yale Peabody Museum, Yale University, New Haven, CT",2024-26090,Notice.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26090.pdf,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the Yale Peabody Museum, Yale University intends to repatriate certain cultural items that meet the definition of unassociated funerary objects and that have a cultural affiliation with the Indian Tribes in this notice.","In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the Yale Peabody Museum, Yale University intends to repatriate certain cultural items that meet the definition of unassociated funerary objects and that have a...",,"Repatriation of the cultural items in this notice may occur on or after December 12, 2024.",2,89030,89031,,"Interior Department, National Park Service","253, 362","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/national-park-service","None, 253","interior-department, national-park-service",,
"Notice of Intended Repatriation: Wesleyan University, Middletown, CT",2024-26083,Notice.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26083.pdf,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), Wesleyan University intends to repatriate certain cultural items that meet the definition of unassociated funerary objects and that have a cultural affiliation with the Indian Tribes or Native Hawaiian organizations in this notice.","In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), Wesleyan University intends to repatriate certain cultural items that meet the definition of unassociated funerary objects and that have a cultural affiliation with...",,"Repatriation of the cultural items in this notice may occur on or after December 12, 2024.",3,89031,89033,,"Interior Department, National Park Service","253, 362","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/national-park-service","None, 253","interior-department, national-park-service",,
"Notice of Inventory Completion: The San Diego Archaeological Center, San Diego, CA",2024-26084,Notice.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26084.pdf,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the San Diego Archaeological Center has completed an inventory of associated funerary objects and has determined that there is a cultural affiliation between the associated funerary objects and Indian Tribes or Native Hawaiian organizations in this notice.","In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the San Diego Archaeological Center has completed an inventory of associated funerary objects and has determined that there is a cultural affiliation between the...",,"Repatriation of the associated funerary objects in this notice may occur on or after December 12, 2024.",2,89033,89034,,"Interior Department, National Park Service","253, 362","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/national-park-service","None, 253","interior-department, national-park-service",,
"Notice of Intended Repatriation: Field Museum, Chicago, IL",2024-26082,Notice.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26082.pdf,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the Field Museum intends to repatriate a certain cultural item that meets the definition of an unassociated funerary object and that has a cultural affiliation with the Indian Tribes or Native Hawaiian organizations in this notice.","In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the Field Museum intends to repatriate a certain cultural item that meets the definition of an unassociated funerary object and that has a cultural affiliation with...",,"Repatriation of the cultural item in this notice may occur on or after December 12, 2024.",1,89034,89034,,"Interior Department, National Park Service","253, 362","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/national-park-service","None, 253","interior-department, national-park-service",,
"Notice of Intended Disposition: U.S. Army Corps of Engineers, Albuquerque District, Albuquerque, New Mexico",2024-26088,Notice.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26088.pdf,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the U.S. Army Corps of Engineers, Albuquerque District intends to carry out the disposition of human remains removed from Federal or Tribal lands to the lineal descendants, Indian Tribe, or Native Hawaiian organization with priority for disposition in this notice.","In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the U.S. Army Corps of Engineers, Albuquerque District intends to carry out the disposition of human remains removed from Federal or Tribal lands to the lineal...",,"Disposition of the human remains in this notice may occur on or after December 12, 2024. If no claim for disposition is received by November 12, 2025, the human remains in this notice will become unclaimed human remains.",2,89034,89035,,"Interior Department, National Park Service","253, 362","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/national-park-service","None, 253","interior-department, national-park-service",,
"Notice of Intended Repatriation: San Francisco State University, NAGPRA Program, San Francisco, CA",2024-26076,Notice.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26076.pdf,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the San Francisco State University (SF State) NAGPRA Program intends to repatriate certain cultural items that meet the definition of unassociated funerary objects or objects of cultural patrimony and that have a cultural affiliation with the Indian Tribes or Native Hawaiian organizations in this notice.","In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the San Francisco State University (SF State) NAGPRA Program intends to repatriate certain cultural items that meet the definition of unassociated funerary objects...",,"Repatriation of the cultural items in this notice may occur on or after December 12, 2024.",2,89035,89036,,"Interior Department, National Park Service","253, 362","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/national-park-service","None, 253","interior-department, national-park-service",,
"Notice of Inventory Completion: California State University, Sacramento, Sacramento, CA",2024-26077,Notice.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26077.pdf,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the California State University, Sacramento has completed an inventory of human remains and associated funerary objects and has determined that there is a cultural affiliation between the human remains and associated funerary objects and Indian Tribes or Native Hawaiian organizations in this notice.","In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the California State University, Sacramento has completed an inventory of human remains and associated funerary objects and has determined that there is a cultural...",,"Repatriation of the human remains and associated funerary objects in this notice may occur on or after December 12, 2024.",2,89036,89037,,"Interior Department, National Park Service","253, 362","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/national-park-service","None, 253","interior-department, national-park-service",,
"Notice of Inventory Completion: Museum of Us, San Diego, CA",2024-26079,Notice.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26079.pdf,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the Museum of Us has completed an inventory of human remains and has determined that there is a cultural affiliation between the human remains and Indian Tribes or Native Hawaiian organizations in this notice.","In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the Museum of Us has completed an inventory of human remains and has determined that there is a cultural affiliation between the human remains and Indian Tribes or...",,"Repatriation of the human remains in this notice may occur on or after December 12, 2024.",1,89037,89037,,"Interior Department, National Park Service","253, 362","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/national-park-service","None, 253","interior-department, national-park-service",,
"Notice of Intended Disposition Amendment: U.S. Department of the Interior, Bureau of Land Management, Colorado State Office, Canyons of the Ancients National Monument, Dolores, CO",2024-26085,Notice; amendment.,2024-11-12,https://www.govinfo.gov/content/pkg/FR-2024-11-12/pdf/2024-26085.pdf,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the U.S. Department of the Interior, Bureau of Land Management, Canyons of the Ancients National Monument has amended a notice of intended disposition published in the Federal Register on August 21, 2024. This notice amends the Indian Tribes with priority for disposition.","In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the U.S. Department of the Interior, Bureau of Land Management, Canyons of the Ancients National Monument has amended a notice of intended disposition published in...",,"Disposition of the human remains in this notice may occur on or after December 12, 2024. If no claim for disposition is received by November 12, 2025, the human remains in this notice will become unclaimed human remains.",2,89037,89038,,"Interior Department, National Park Service","253, 362","https://www.federalregister.gov/agencies/interior-department, https://www.federalregister.gov/agencies/national-park-service","None, 253","interior-department, national-park-service",,
